Title,GGS Rating,Collected Classes,num_rank
"INTERNATIONAL CONFERENCE ON 3D IMAGING, MODELING, PROCESSING, VISUALIZATION & TRANSMISSION",B-,B-,2
"INTERNATIONAL SYMPOSIUM ON 3D DATA PROCESSING, VISUALIZATION AND TRANSMISSION",B-,B-,2
"3DTV-CONFERENCE: THE TRUE VISION - CAPTURE, TRANSMISSION AND DISPLAY OF 3D VIDEO",C,C,1
IEEE SYMPOSIUM ON 3D USER INTERFACES,C,"B, C",1
INTERNATIONAL CONFERENCE ON 3D VISION,A-,A-,4
"INTERNATIONAL CONFERENCE ON P2P, PARALLEL, GRID, CLOUD, AND INTERNET COMPUTING",C,C,1
ASIAN SOLID-STATE CIRCUITS CONFERENCE,C,C,1
SYMPOSIUM OF ASIAN ASSOCIATION FOR ALGORITHMS AND COMPUTATION,C,C,1
CONFERENCE ON ARTIFICIAL INTELLIGENCE,A++,"A++, A++, A++",7
ALGORITHMIC APPLICATIONS IN MANAGEMENT,C,"C, C, C",1
ADAPTIVE AGENTS AND MULTI-AGENTS SYSTEMS,A,"A++, A, A",5
TRUST IN AGENT SOCIETIES,B,B,3
"ABSTRACT STATE MACHINES, ALLOY, B AND Z",C,"C, C",1
AIAA/CEAS AEROACOUSTICS CONFERENCE,B,B,3
AUSTRALIAN CONFERENCE ON ARTIFICIAL LIFE AND COMPUTATIONAL INTELLIGENCE,C,NC,1
APPLIED COMPUTING CONFERENCE,C,C,1
AUSTRALASIAN CONFERENCE ON COMBINATORIAL MATHEMATICS AND COMBINATORIAL COMPUTING,C,NC,1
CONFERENCE COGNITIVE SCIENCE,B,B,3
INTERNATIONAL WORKSHOP ON ALGEBRAIC AND COMBINATORIAL CODING THEORY,C,NC,1
"INTERNATIONAL CONFERENCE ON ADVANCES IN COMPUTING, CONTROL, AND TELECOMMUNICATION TECHNOLOGIES",C,C,1
ASIAN CONFERENCE ON COMPUTER VISION,B,"A-, B",3
"ACM INTERNATIONAL CONFERENCE ON ADVANCES IN COMPUTER ENTERTAINMENT (MERGED WITH DIMEA, DIGITAL INTERACTIVE MEDIA IN ENTERTAINMENT AND ARTS, IN 2009)",B-,"B, B, C",2
AUSTRALASIAN COMPUTING EDUCATION CONFERENCE (ACE),C,"C, NC",1
ADVANCES IN COMPUTER-HUMAN INTERACTION,C,"C, C",1
AFFECTIVE COMPUTING AND INTELLIGENT INTERACTION,B-,"B, B, C",2
ASIAN CONFERENCE ON INTELLIGENT INFORMATION AND DATABASE SYSTEMS,C,"B, C, C",1
IEEE/ACIS INTERNATIONAL CONFERENCE ON COMPUTER AND INFORMATION SCIENCE,C,C,1
AUSTRALASIAN CONFERENCE ON INFORMATION SECURITY AND PRIVACY,C,"B, NC",1
ADVANCED CONCEPTS FOR INTELLIGENT VISION SYSTEMS,B-,"B, B, C",2
ASSOCIATION OF COMPUTATIONAL LINGUISTICS,A++,"A++, A++, A++",7
WORKSHOP ON THE ACL2 THEOREM PROVER AND ITS APPLICATIONS,C,C,1
WORKSHOP CHALLENGED NETWORKS,B-,B-,2
ACM SYMPOSIUM ON APPLIED COMPUTING,A-,"A, A, B",4
INTERNATIONAL SYMPOSIUM ON SYMBOLIC AND ALGEBRAIC COMPUTATION,B,"A, B, B",3
ACM-SIGMIS CPR CONFERENCE,B,B,3
ACM/IEEE SYMPOSIUM ON EDGE COMPUTING,B,B,3
ACM SYMPOSIUM ON COMPUTING AND DEVELOPMENT,C,C,1
ASIAN CONFERENCE ON MACHINE LEARNING,C,"C, NC",1
ACM MULTIMEDIA,A++,"A++, A++, A+",7
ACM SOUTHEAST REGIONAL CONFERENCE,C,C,1
INTERNATIONAL CONFERENCE ON APPLIED CRYPTOGRAPHY AND NETWORK SECURITY,A-,"A, A-, B",4
ASIAN CONFERENCE ON PATTERN RECOGNITION,C,C,1
AUSTRALASIAN CONFERENCE ON ROBOTICS AND AUTOMATION,C,NC,1
CELLULAR AUTOMATA FOR RESEARCH AND INDUSTRY,C,"C, C",1
IEEE INTERNATIONAL SYMPOSIUM ON ASYNCHRONOUS CIRCUITS AND SYSTEMS,C,C,1
ANNUAL COMPUTER SECURITY APPLICATIONS CONFERENCE,A,"A+, A+, NC",5
INTERNATIONAL CONFERENCE ON APPLICATION OF CONCURRENCY TO SYSTEM DESIGN,B-,"B, B, C",2
"ASILOMAR CONFERENCE ON SIGNALS, SYSTEMS AND COMPUTERS",C,"A-, NC",1
INTERNATIONAL CONFERENCE ON RELIABLE SOFTWARE TECHNOLOGIES,C,"B, C, C",1
ADVANCES IN DATABASES AND INFORMATION SYSTEMS,C,"B, C, C",1
AUSTRALASIAN DATABASE CONFERENCE,C,"C, C, NC",1
AUSTRALASIAN DOCUMENT COMPUTING SYMPOSIUM,C,"C, NC",1
INTERNATIONAL CONFERENCE ON AD-HOC NETWORKS AND WIRELESS,C,"B, C, C",1
AD HOC NETWORKS,B-,"A+, C",2
INTERNATIONAL CONFERENCE ON ADVANCED DATA MINING AND APPLICATIONS,B-,"B, B, C",2
INTERNATIONAL WORKSHOP ON AGENTS AND DATA MINING INTERACTION,C,"B, C",1
IEEE INTERNATIONAL SYMPOSIUM ON ADAPTIVE DYNAMIC PROGRAMMING AND REINFORCEMENT LEARNING,C,"B-, C, C",1
AGENT-DIRECTED SIMULATION,C,C,1
ALGORITHMIC DECISION THEORY,C,"C, C",1
INTERNATIONAL CONFERENCE ON APPLIED ELECTRONICS,C,C,1
IEEE AEROSPACE CONFERENCE,B,B,3
IEEE INTERNATIONAL CONFERENCE ON AUTOMATIC FACE AND GESTURE RECOGNITION,A-,"A+, A, C",4
INTERNATIONAL CONFERENCE ON CRYPTOLOGY IN AFRICA,B-,"A-, C",2
AFRICON,C,C,1
"COMPUTER GRAPHICS, VIRTUAL REALITY, VISUALISATION AND INTERACTION IN AFRICA",C,C,1
ARTIFICIAL GENERAL INTELLIGENCE,C,"C, C",1
AGILE CONFERENCE ON GEOGRAPHIC INFORMATION SCIENCE,C,C,1
AUGMENTED HUMAN INTERNATIONAL CONFERENCE,B,B,3
INTERNATIONAL CONFERENCE ON ADAPTIVE HYPERMEDIA AND ADAPTIVE WEB-BASED SYSTEMS,B,B,3
ADAPTIVE HARDWARE AND SYSTEMS,C,C,1
CONGRESS OF THE ITALIAN ASSOCIATION FOR ARTIFICIAL INTELLIGENCE,C,"C, C",1
AUSTRALASIAN JOINT CONFERENCE ON ARTIFICIAL INTELLIGENCE,C,"C, NC",1
CONFERENCE ON ARTIFICIAL INTELLIGENCE FOR APPLICATIONS,C,C,1
ARTIFICIAL INTELLIGENCE APPLICATIONS AND INNOVATIONS,C,"C, C, C",1
ACS/IEEE INTERNATIONAL CONFERENCE ON COMPUTER SYSTEMS AND APPLICATIONS,C,"B, C, C",1
AUSTRALIAN INSTITUTE OF COMPUTER ETHICS CONFERENCE,C,NC,1
ARTIFICIAL INTELLIGENCE AND COMPUTATIONAL INTELLIGENCE,C,C,1
ADVANCED INDUSTRIAL CONFERENCE ON TELECOMMUNICATIONS,C,C,1
INTERNATIONAL CONFERENCE ON ARTIFICIAL INTELLIGENCE IN EDUCATION,B,"A, B, B",3
ARTIFICIAL INTELLIGENCE AND INTERACTIVE DIGITAL ENTERTAINMENT,C,"B, C",1
INTERNATIONAL CONFERENCE ON ADVANCED INTELLIGENT MECHATRONICS,B,B,3
ARTIFICIAL INTELLIGENCE IN MEDICINE IN EUROPE,C,"B, C, C",1
ADVANCES IN MODAL LOGIC,C,"B, C, C",1
"AUTONOMOUS INFRASTRUCTURE, MANAGEMENT AND SECURITY",C,C,1
"ARTIFICIAL INTELLIGENCE: METHODOLOGY, SYSTEMS, APPLICATIONS",C,"C, C, NC",1
ADVANCED INFORMATION NETWORKING AND APPLICATIONS,B,"A-, B, B",3
APPLIED IMAGERY PATTERN RECOGNITION WORKSHOP,C,C,1
INTERNATIONAL CONFERENCE ON ARTIFICIAL INTELLIGENCE PLANNING SYSTEMS,A-,A-,4
ASIA INFORMATION RETRIEVAL SYMPOSIUM,C,"C, C, C",1
ADVERSARIAL INFORMATION RETRIEVAL ON THE WEB,B-,B-,2
ARTIFICIAL INTELLIGENCE AND THE SIMULATION OF BEHAVIOUR,C,C,1
ARTIFICIAL INTELLIGENCE AND SYMBOLIC COMPUTATION,C,"C, C",1
AUSTRALASIAN INFORMATION SECURITY CONFERENCE,C,NC,1
"INTERNATIONAL CONFERENCE ON ANALYSIS OF IMAGES, SOCIAL NETWORKS AND TEXTS",C,NC,1
INTERNATIONAL CONFERENCE ON ARTIFICIAL INTELLIGENCE AND STATISTICS,A+,"A++, A+, A",6
AI & SECURITY WORKSHOP,C,C,1
ASLIB JOURNAL OF INFORMATION MANAGEMENT,C,C,1
WORKSHOP ON ALGORITHM ENGINEERING AND EXPERIMENTS,B,"A, A-, B-",3
ENGG WORKSHOP ON ALGORITHM ENGINEERING,B-,B-,2
EUROPEAN CONFERENCE ON COMPUTER ALGEBRA,C,C,1
ALGORITHMIC ASPECTS OF WIRELESS SENSOR NETWORKS,C,"C, C, C",1
IEEE INTERNATIONAL SYMPOSIUM ON ARTIFICIAL LIFE,C,"C, C",1
"ALLERTON CONFERENCE ON COMMUNICATION, CONTROL, AND COMPUTING",A-,A-,4
ALGORITHMIC LEARNING THEORY,B,"B, B, B",3
AUSTRALASIAN LANGUAGE TECHOLOGY WORKSHOP,C,NC,1
ALGEBRAIC METHODOLOGY AND SOFTWARE TECHNOLOGY,C,"C, C",1
INTERNATIONAL WORKSHOP ON ADVANCED MOTION CONTROL,C,C,1
AMERICAN CONTROL CONFERENCE,A,"A+, A",5
AMERICAS CONFERENCE ON INFORMATION SYSTEMS,B,"A-, B",3
ARTICULATED MOTION AND DEFORMABLE OBJECTS,C,C,1
ANALYSIS AND MODELING OF FACES AND GESTURES,B-,B-,2
AMBIENT INTELLIGENCE,C,"B, C",1
AMERICAN MEDICAL INFORMATICS ANNUAL FALL SYMPOSIUM,A-,"A-, A-, NC",4
ADAPTIVE MULTIMEDIA RETRIEVAL,C,C,1
ASIA INTERNATIONAL CONFERENCE ON MODELLING AND SIMULATION,C,C,1
AGENT AND MULTI-AGENT SYSTEMS: TECHNOLOGIES AND APPLICATIONS,C,"C, C, C",1
ACTIVE MEDIA TECHNOLOGY,C,C,1
CONFERENCE OF THE ASSOCIATION FOR MACHINE TRANSLATION IN THE AMERICAS,C,"B, C",1
ALBERTO MENDELZON INTERNATIONAL WORKSHOP ON FOUNDATIONS OF DATA MANAGEMENT,C,C,1
WORKSHOP ON ANALYTIC ALGORITHMICS AND COMBINATORICS,C,"B, C",1
ARCHITECTURES FOR NETWORKING AND COMMUNICATIONS SYSTEMS,B,"B, B",3
ANALYTICS FOR NOISY UNSTRUCTURED TEXT DATA,B-,B-,2
CONFERENCE ON APPLIED NATURAL LANGUAGE PROCESSING,A-,A-,4
ARTIFICIAL NEURAL NETWORKS IN PATTERN RECOGNITION,C,"C, C",1
ANNUAL SIMULATION SYMPOSIUM,B,"A-, B",3
"INTERNATIONAL CONFERENCE ON AMBIENT SYSTEMS, NETWORKS AND TECHNOLOGIES",C,NC,1
IEEE INTERNATIONAL CONFERENCE ON ADVANCED NETWORKS AND TELECOMMUNICATIONS SYSTEMS,B,B,3
AGENT-ORIENTED INFORMATION SYSTEMS WORKSHOP,C,C,1
ACADEMY OF MANAGEMENT ANNUAL MEETING,B,B,3
