ss_venue_id,name,issn,url
7a374625-d401-46df-bfd4-9637275974e1,International Journal of Financial Studies,2227-7072,http://www.e-helvetica.nb.admin.ch/directAccess?callnumber=bel-281817
79c59592-820f-4ed1-87df-db795b4326be,Journal of medical systems,0148-5598,https://link.springer.com/journal/10916
25248f80-fe99-48e5-9b8e-9baef3b8e23b,IEEE Transactions on Pattern Analysis and Machine Intelligence,0162-8828,http://www.computer.org/tpami/
b142707c-e6b5-427a-a6d4-313604e96add,Clinical Chemistry,0009-9147,http://www.clinchem.org/
0aed7a40-85f3-4c66-9e1b-c1556c57001b,PLoS ONE,1932-6203,https://journals.plos.org/plosone/
136edf8d-0f88-4c2c-830f-461c6a9b842e,Applied Sciences,2076-3417,http://www.e-helvetica.nb.admin.ch/directAccess?callnumber=bel-217814
5b118ecf-59a2-431d-8c47-4656f9e92e08,Molecular Informatics,1868-1743,http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1868-1751
e2ffc10b-8941-4382-801c-48e781e51620,International Journal of Information and Communication Technology Education,1550-1337,http://find.galegroup.com/openurl/openurl?ctx_enc=info:ofi:enc:UTF-8&res_id=info:sid/gale:AONE&rft.issn=1550-1876&rft_val_fmt=info:ofi/fmt:kev:mtx:journal&url_ctx_fmt=info:ofi/fmt:kev:mtx:ctx&url_ver=Z39.88-2004
39b8b5dc-1ca2-4d60-9973-fb023d4d6c4c,Mathematics of Operations Research,0364-765X,http://www.informs.org/Pubs/MOR
d64970b5-c111-42a8-aef4-66705a3b73dd,SIAM Journal of Control and Optimization,0363-0129,https://epubs.siam.org/journal/sjcodc
c1787df9-2372-4198-b5d7-602b4b17feea,Game Studies,1604-7982,http://www.gamestudies.org/
d406a3f4-dc05-43be-b1f6-812f29de9c0e,IEEE Transactions on Information Forensics and Security,1556-6013,http://www.ieee.org/organizations/society/sp/tifs.html
42cd70f7-45f1-4f5a-9723-42d222d6c56e,IEEE transactions on computers,0018-9340,http://ieeexplore.ieee.org/servlet/opac?punumber=12
3a995ee9-e30d-4697-8cb1-d2b8baa4c814,International Journal of Pediatrics,1687-9740,http://www.hindawi.com/journals/ijped/
68f20e73-515e-4c73-9cd5-5684926b45f7,IEEE Journal on Selected Areas in Communications,0733-8716,http://www.comsoc.org/jsac/
97033a25-f03c-4ad0-aef7-a1ff724d264d,Science and Engineering Ethics,1353-3452,https://link.springer.com/journal/11948
3a0340a2-0804-47d7-9734-55aad610ead1,Journal of Aerospace Computing Information and Communication,1542-9423,http://rzblx1.uni-regensburg.de/ezeit/warpto.phtml?colors=7&jour_id=84231
21e23f5f-d076-48a8-a3aa-eac8f4eda0d9,Biological Psychiatry,0006-3223,http://www.elsevier.com/locate/biopsychiat
0a4091e0-278a-4c42-9b5d-09b61940ac44,Jurnal sport science,1907-5111,http://journal2.um.ac.id/index.php/sport-science/
68f20e73-515e-4c73-9cd5-5684926b45f7,IEEE Journal on Selected Areas in Communications,0733-8716,http://www.comsoc.org/jsac/
1283a59c-0d1f-48c3-81d7-02172f597e70,IEEE Transactions on Automatic Control,0018-9286,http://ieeexplore.ieee.org/servlet/opac?punumber=9
f7486b96-a794-4d6f-9c59-ceb96c3200a8,Journal of Network and Systems Management,1064-7570,https://link.springer.com/journal/10922
bb1e43d8-72e5-4f3a-a4dc-a5e2e6d038cc,"Cyberpsychology, Behavior, and Social Networking",2152-2715,https://www.liebertpub.com/cpb
c3e5f1c8-9ba7-47e5-acde-53063a69d483,Future Internet,1999-5903,http://www.e-helvetica.nb.admin.ch/directAccess?callnumber=bel-156830
88628377-4e89-44f8-bb38-094e29986c8f,Procedia Computer Science,1877-0509,http://www.elsevier.com/wps/find/journaldescription.cws_home/719435/description#
79c59592-820f-4ed1-87df-db795b4326be,Journal of medical systems,0148-5598,https://link.springer.com/journal/10916
fa373f62-4acc-47e8-b0b8-0ca4cd4394e6,Ai & Society,,
4a3ac048-1d69-4baf-95ee-287858c5913a,Information Security Journal,1939-3547,http://www.informaworld.com/smpp/title~content=1065-898X
ccd8e532-73c6-414f-bc91-271bbb2933e2,Electronics,1450-5843,http://www.electronics.etfbl.net/
464fc754-14dd-47ef-836a-b2bacc415d8f,Journal of Molecular Microbiology and Biotechnology,1464-1801,https://www.karger.com/Journal/Home/228391
2c469df0-fa01-4dee-8f25-0d87a6fc4ef1,Proteomics,1615-9853,http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1615-9861
879cc181-c4d7-4a05-bc03-3766f2c37b6d,Clinical EEG and Neuroscience,1550-0594,http://www.ecnsweb.com/ce_clinicaleeg.htm
80d65c2a-75d2-4eeb-9aff-622dfa7888b0,The Journal of Information Systems,1229-8476,http://www.atypon-link.com/AAA/toc/jis/21/1
3f16aef5-6b9f-4f87-baca-cbf8147e352f,Journal of Chemical Information and Modeling,1549-9596,http://pubs.acs.org/jcim
fcbcaf18-8ab1-43e1-a973-604bbc7e344e,Proceedings of the VLDB Endowment,2150-8097,http://dl.acm.org/toc.cfm?id=J1174
69eb0845-348f-4911-86c6-dd7adcfe1508,Journal of Database Management,1063-8016,https://www.igi-global.com/journal/journal-database-management-jdm/1072
da96c220-cd39-4894-bae6-d2d77c8e7aa9,Nucleic Acids Research,0305-1048,https://academic.oup.com/nar
9704c32e-4051-4155-95f8-dcb3c01abc51,Interactive Learning Environments,1049-4820,http://www.informaworld.com/1744-5191
3f16aef5-6b9f-4f87-baca-cbf8147e352f,Journal of Chemical Information and Modeling,1549-9596,http://pubs.acs.org/jcim
e427d1dc-4dd1-412a-9fe4-d675dac06ac6,IEEE Transactions on Education,0018-9359,https://www.ewh.ieee.org/soc/es/esinfo.html
0c711e3b-de49-4786-9dd8-3edd2c943869,Journal of Visual Communication and Image Representation,1047-3203,http://www.elsevier.com/wps/find/journaldescription.cws_home/622906/description#description
d029f971-f74c-41ca-8373-1b713414c797,Journal of Computing and Information Science in Engineering,1530-9827,https://www.asme.org/
da96c220-cd39-4894-bae6-d2d77c8e7aa9,Nucleic Acids Research,0305-1048,https://academic.oup.com/nar
2633f5b2-c15c-49fe-80f5-07523e770c26,IEEE Access,2169-3536,http://www.ieee.org/publications_standards/publications/ieee_access.html
